节次/周次,星期一,星期二,星期三,星期四,星期五
13:10-13:55,"(1-11 13-16,教学2B403)","(18,信息334,信息332)",(11-12),-12,-12
,沈海荣 金工认识实习(QT727010_002),李志 足球2(TY110042_005),,陈元林 电子仪器实习(XX227040_003),陈元林 电子仪器实习(XX227040_003)
,-12,(1-16),,"(18,信息334,信息332)","(18,信息334,信息332)"
,陈元林 电子仪器实习(XX227040_003),耿烜 专业认知实习(XX227270_002),,杨志伟 毛泽东思想和中国特色社会主义理论体系概论(MY210350_004),王帅群 高级语言程序设计实验(XX110170s_008)
,"(18,信息334,信息332)","(19-20,信息231)",,"(1-11 13-16,教学2A202)","(1,信息119)"
,耿烜 专业认知实习(XX227270_002),,,耿烜 专业认知实习(XX227270_002),徐艳丽 高级语言程序设计实验(XX110170s_008)
,"(19-20,信息231)",,,"(19-20,信息231)","(2-11 13-16,信息119)"
,,,,,耿烜 专业认知实习(XX227270_002)
第八节,,,,,"(19-20,信息231)"
14:00-14:45,,,,,
第九节,沈海荣 金工认识实习(QT727010_002),沈海荣 金工认识实习(QT727010_002),杨志伟 毛泽东思想和中国特色社会主义理论体系概论(MY210350_004),沈海荣 金工认识实习(QT727010_002),沈海荣 金工认识实习(QT727010_002)
15:05-15:50,-12,-12,-11,-12,-12
,陈元林 电子仪器实习(XX227040_003),陈元林 电子仪器实习(XX227040_003),,陈元林 电子仪器实习(XX227040_003),陈元林 电子仪器实习(XX227040_003)
,"(18,信息334,信息332)","(18,信息334,信息332)",,"(18,信息334,信息332)","(18,信息334,信息332)"
,刘振 军事理论与国家安全(QT610040_007),徐艳丽 高级语言程序设计(XX110590_010),,刘振 军事理论与国家安全(QT610040_007),耿烜 专业认知实习(XX227270_002)
,"(9-11 13-16,教学2C101)","(1-11 13-16,教学2B302)",,"(16,教学2C101)","(19-20,信息231)"
,耿烜 专业认知实习(XX227270_002),耿烜 专业认知实习(XX227270_002),,耿烜 专业认知实习(XX227270_002),
第十节,"(19-20,信息231)","(19-20,信息231)",,"(19-20,信息231)",
15:55-16:40,,,,,
第十一节,何新华 工程项目管理(XX220600_001),何虹雨 中华民族共同体概论(MY298022_001),刘艳秋 大学物理(一)(WL310011_018),雷梦宇 大学生心理健康教育(QT620030_016),
18:00-18:45,"(1-2,教学3D108)","(1-11,教学2B503)","(1-16,教学3B305)","(1-11,教学3A201)",
第十二节,"(3-8,教学2C101)",,,,
18:50-19:35,,,,,
第十三节,,何虹雨 中华民族共同体概论(MY298022_001),,雷梦宇 大学生心理健康教育(QT620030_016),
19:40-20:25,,"(1-10,教学2B503)",,"(1-10,教学3A201)",
