id,risk_assessment_score,first_trade_elapsed_time,recent_trade_gap,avg_time_to_resolve,total_successful_trades,delinquent_trades_60_days,delinquent_trades_90_days,legal_trade_percentage,last_illegal_trade_gap,illegal_trades_last_year_max,total_illegal_trades_max,total_trade_count,recently_initiated_trades,installment_trade_percentage,non_recent_inquiry_gap,recent_inquiries_count,non_recent_inquiries_count,revolving_debt_ratio,installment_debt_ratio,revolving_trades_with_balance,installment_trades_with_balance,high_risk_banks_count,trades_with_balance_percentage,target
19,79,507,23,197,21,0,0,100,-7,7,8,21,0,29,0,0,0,64,53,6,3,2,83,0
20,62,59,12,33,10,0,0,100,-7,7,8,10,0,50,0,0,0,100,99,5,3,3,100,1
21,71,227,12,116,15,2,1,78,48,6,4,18,0,28,0,2,2,83,-8,2,1,2,60,0
22,81,261,4,67,22,0,0,100,-7,7,8,24,2,33,0,1,1,29,68,3,3,1,50,1
23,68,368,4,111,47,0,0,100,-7,7,8,49,2,27,0,1,1,78,61,21,2,9,80,1
24,87,147,1,69,8,0,0,100,-7,7,8,11,2,45,1,3,3,2,100,1,1,0,50,0
25,62,255,70,152,14,0,0,50,4,4,6,16,0,19,-7,3,2,84,-8,11,1,7,100,0
26,63,37,8,21,9,0,0,100,-7,7,8,4,3,50,-7,1,1,81,47,5,7,2,92,1
27,69,198,3,111,21,1,1,100,-7,0,8,23,3,26,-7,1,1,5,-8,2,2,0,57,1
28,77,227,2,74,66,0,0,99,75,6,6,76,4,30,-7,1,1,24,90,12,9,1,58,0
29,84,199,23,100,17,0,0,100,-7,7,8,17,0,18,-8,0,0,37,19,2,2,0,50,0
30,77,387,4,123,22,1,1,96,57,6,4,23,1,35,-7,1,1,31,94,7,3,1,83,0
31,79,196,3,50,13,0,0,100,-7,7,8,13,3,46,0,0,0,48,-8,2,1,2,60,0
32,68,253,11,99,36,1,1,85,10,4,2,40,2,28,0,0,0,44,-8,9,1,1,63,0
33,67,83,2,36,30,0,0,97,25,6,6,32,8,44,0,3,3,39,89,4,8,0,80,0
34,91,401,58,152,9,0,0,100,-7,7,8,9,0,44,-8,0,0,3,-8,1,-8,0,25,0
35,62,21,12,17,4,0,0,100,-7,7,8,4,0,50,0,4,3,120,83,1,2,1,75,0
36,85,387,79,223,9,0,0,100,-7,7,8,11,0,0,0,0,0,34,-8,3,-8,0,60,0
37,85,277,15,91,8,0,0,100,-7,7,8,8,0,25,22,0,0,36,-8,5,-8,0,100,0
38,78,56,2,32,8,0,0,100,-7,7,8,9,3,22,0,1,1,23,19,4,2,0,86,1
39,85,293,36,120,22,0,0,100,-7,7,8,22,0,41,-8,0,0,21,45,3,3,0,75,0
40,72,132,4,78,15,1,1,88,46,6,3,16,1,44,0,2,2,80,-8,2,1,1,60,0
41,74,407,2,93,49,1,0,94,17,6,5,52,2,35,1,3,3,34,84,2,4,0,50,0
42,65,72,11,32,20,0,0,100,-7,7,8,21,1,5,6,0,0,48,-8,6,-8,3,40,0
43,71,175,8,46,14,0,0,93,25,6,6,14,1,57,0,1,1,76,-8,2,2,0,80,1
44,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,0
45,68,184,17,69,19,1,1,100,-7,6,8,19,0,68,5,0,0,0,11,1,2,-8,100,1
46,75,300,14,124,22,0,0,100,-7,7,8,23,0,39,0,0,0,57,-8,4,1,1,100,1
47,61,75,0,35,30,0,0,100,-7,7,8,37,6,15,10,0,0,77,47,11,4,8,76,0
48,59,90,11,50,27,0,0,96,76,6,6,27,1,15,1,2,2,68,83,11,1,2,86,1
49,73,399,2,139,29,1,0,84,34,6,5,38,2,29,1,2,2,8,66,6,3,0,56,1
50,73,248,4,76,24,0,0,88,18,6,6,26,2,28,0,1,1,12,90,4,2,0,64,0
51,55,286,3,14,10,0,0,90,10,4,6,20,2,20,0,2,2,70,69,4,2,1,75,1
52,82,156,21,84,12,0,0,100,-7,7,8,12,0,42,0,0,0,73,68,3,2,0,100,0
53,85,167,2,58,11,0,0,100,-7,7,8,12,2,42,-7,2,2,15,-8,2,1,0,75,0
54,74,262,35,115,17,0,0,94,3,4,6,17,0,35,-8,0,0,0,-8,2,2,0,71,0
55,60,264,8,87,21,3,1,77,7,3,5,26,1,50,4,1,1,12,-8,1,2,0,75,0
56,77,389,30,102,22,2,2,92,25,6,2,24,0,4,0,1,1,13,-8,5,-8,0,36,0
57,83,159,10,66,23,0,0,96,32,6,6,25,3,32,10,0,0,7,-8,2,2,0,80,0
58,84,217,5,90,17,1,0,95,53,6,5,19,1,47,-8,0,0,3,-8,3,2,0,71,0
59,92,152,15,154,14,0,0,100,-7,7,8,15,0,47,-7,0,0,7,79,2,2,0,80,0
60,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,0
61,87,284,21,108,16,0,0,100,-7,7,8,51,0,31,-8,0,0,4,38,1,1,0,43,0
62,73,255,20,90,7,1,1,67,29,6,4,9,0,22,-8,0,0,52,-8,3,-8,0,60,0
63,78,56,2,32,8,0,0,100,-7,7,8,9,3,22,0,1,1,23,19,4,2,0,86,1
64,68,247,48,117,20,2,2,95,59,0,6,20,0,15,-7,0,0,13,-8,4,2,0,47,1
65,89,441,75,194,12,0,0,100,-7,7,8,13,0,25,9,0,0,5,-8,2,1,0,43,0
66,64,151,9,65,30,1,1,100,-7,6,8,31,1,19,-7,1,1,56,21,10,3,5,76,1
67,86,220,7,79,19,0,0,100,-7,7,8,19,1,0,0,0,0,2,-8,3,-8,0,21,0
68,69,187,5,53,24,0,0,100,-7,7,8,24,4,33,14,0,0,51,98,6,3,3,60,0
69,88,331,3,113,20,0,0,100,-7,7,8,28,1,24,7,0,0,10,-8,4,3,0,70,0
70,93,280,13,121,6,0,0,100,-7,7,8,6,0,50,13,0,0,0,-8,0,1,0,33,0
71,65,79,9,40,11,1,0,77,8,4,5,13,1,46,0,2,2,0,96,0,2,-8,75,1
72,65,199,17,83,9,5,5,100,-7,6,8,9,0,56,22,0,0,88,77,3,2,1,100,1
73,76,217,14,83,23,0,0,100,-7,7,8,26,0,22,11,0,0,17,51,10,3,2,81,0
74,84,140,5,74,22,0,0,100,-7,7,8,24,2,14,0,1,1,36,22,1,2,0,30,0
75,87,240,8,115,12,0,0,100,-7,7,8,12,1,58,7,0,0,1,91,1,3,0,67,0
76,75,258,2,79,21,1,1,96,41,6,2,24,4,29,2,1,1,3,62,2,2,0,45,1
77,85,251,3,66,56,0,0,100,-7,7,8,61,4,26,0,4,4,1,-8,7,1,0,36,0
78,89,280,23,107,16,0,0,100,-7,7,8,16,0,50,-8,0,0,7,38,1,2,0,60,0
79,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,0
80,71,179,7,69,34,0,0,100,-7,7,8,34,3,29,0,1,1,34,83,7,3,1,50,1
81,69,183,7,46,21,1,1,86,20,6,2,22,2,45,0,1,1,36,75,1,4,0,56,0
82,88,397,13,122,26,0,0,100,-7,7,8,26,0,0,0,0,0,9,-8,4,-8,0,20,0
83,78,251,7,107,25,0,0,100,-7,7,8,27,2,33,7,0,0,36,92,4,2,2,75,0
84,88,435,4,164,19,0,0,100,-7,7,8,19,1,0,4,1,1,3,-8,6,-8,0,43,0
85,79,158,3,54,23,0,0,100,-7,7,8,25,2,38,3,2,2,14,130,1,2,0,50,0
86,88,171,17,91,15,0,0,100,-7,7,8,16,0,50,17,0,0,0,-8,0,1,0,25,0
87,78,202,2,70,15,0,0,94,-8,6,6,17,4,18,1,1,1,10,-8,4,1,0,38,0
88,61,214,5,92,38,0,0,95,4,4,6,79,2,21,1,6,6,26,76,5,2,3,33,1
89,70,335,3,105,35,2,2,87,34,6,4,39,5,33,0,2,2,27,6,10,3,1,88,0
90,57,47,9,35,5,1,0,50,16,6,5,10,1,30,0,2,2,66,70,2,2,0,57,1
91,90,238,12,103,16,0,0,100,-7,7,8,16,0,25,0,0,0,1,-8,1,1,0,33,0
92,56,147,1,64,30,0,0,100,-7,7,8,31,1,23,0,3,3,95,135,21,6,12,100,1
93,71,241,3,90,55,0,0,100,-7,7,8,86,4,35,1,1,1,58,54,9,7,5,70,0
94,85,308,11,91,28,0,0,100,-7,7,8,29,1,34,18,0,0,13,51,2,4,0,60,0
95,67,206,1,83,12,3,2,93,46,6,5,14,3,29,2,1,1,60,-8,5,1,2,67,1
96,66,290,6,118,40,1,0,86,21,5,5,42,2,31,5,0,0,79,76,11,2,5,82,0
97,69,147,2,50,26,1,0,93,10,4,5,28,3,36,0,0,0,6,86,3,2,1,36,1
98,72,212,2,57,16,0,0,100,-7,7,8,17,2,35,-7,0,0,69,52,5,3,4,67,0
99,85,149,8,63,15,0,0,100,-7,7,8,15,1,40,0,2,2,5,32,1,3,0,44,0
100,85,267,4,125,25,0,0,100,-7,7,8,18,6,48,4,1,1,15,90,3,5,0,80,0
101,83,108,11,58,19,0,0,90,12,6,6,20,1,5,-7,0,0,0,-8,2,1,0,50,1
102,83,187,3,80,29,0,0,100,-7,7,8,30,1,33,12,1,1,13,-8,3,1,2,50,0
103,84,49,6,28,13,0,0,100,-7,7,8,13,1,46,0,1,1,1,59,1,2,0,60,0
104,59,183,47,133,2,4,4,40,13,6,2,7,0,20,0,1,1,-8,-8,-8,1,-8,100,1
105,75,176,2,77,23,0,0,100,-7,7,8,28,3,43,1,1,1,46,86,5,2,2,78,0
106,85,392,34,105,15,1,0,94,60,6,5,16,0,56,-8,0,0,3,9,1,2,0,50,0
107,88,160,5,74,10,0,0,100,-7,7,8,10,1,50,0,1,1,0,84,1,2,0,50,0
108,74,225,3,87,14,0,0,71,12,6,6,17,3,59,3,3,3,25,-8,1,1,0,33,1
109,62,207,6,61,17,1,1,95,18,6,3,19,1,11,0,2,2,82,-8,12,-8,6,81,1
110,64,160,83,170,8,2,2,70,18,6,2,11,0,0,-7,0,0,84,-8,1,-8,1,100,0
111,80,181,19,100,17,0,0,100,-7,7,8,17,0,6,0,2,1,16,-8,2,1,1,80,0
112,78,167,8,84,29,0,0,100,-7,7,8,43,3,30,0,1,1,24,84,6,4,0,71,0
113,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,1
114,84,188,12,78,30,0,0,100,-7,7,8,30,0,21,2,1,1,0,-8,1,2,1,75,0
115,86,169,8,141,24,0,0,100,-7,7,8,6,1,8,1,2,1,9,-8,1,1,0,18,1
116,83,176,8,70,8,0,0,100,-7,7,8,8,3,50,0,0,0,38,91,2,2,0,80,1
117,76,134,35,84,21,0,0,95,-8,6,6,21,0,52,-7,0,0,38,-8,1,1,0,67,1
118,83,175,26,69,16,0,0,100,-7,7,8,16,0,38,0,1,1,4,43,2,2,0,40,1
119,86,304,103,167,9,0,0,100,-7,7,8,9,0,22,-8,0,0,27,20,1,1,0,67,0
120,87,229,4,100,22,0,0,100,-7,7,8,25,2,44,1,2,2,16,83,5,2,0,64,0
121,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,1
122,80,388,15,88,41,0,0,100,-7,7,8,42,0,14,0,2,1,16,72,12,2,0,74,0
123,60,82,14,38,19,0,0,95,12,6,6,20,0,35,16,0,0,68,-8,6,2,3,62,1
124,84,247,3,91,26,0,0,100,-7,7,8,26,2,27,0,2,2,44,-8,5,1,2,33,1
125,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,1
126,65,243,9,89,23,0,0,83,2,4,6,23,1,52,-7,0,0,49,75,4,4,1,80,1
127,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,0
128,79,200,5,86,26,0,0,100,-7,5,8,30,1,67,0,1,1,57,97,4,2,1,100,0
129,77,431,1,127,21,1,1,96,23,6,2,58,2,39,6,0,0,10,95,1,3,0,33,0
130,65,258,3,98,21,7,2,70,11,4,4,55,4,33,7,0,0,2,75,2,4,0,46,0
131,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,0
132,93,280,13,121,6,0,0,100,-7,7,8,6,0,50,13,0,0,0,-8,0,1,0,33,0
133,77,237,5,78,27,0,0,100,-7,7,8,27,2,11,15,0,0,35,-8,5,1,2,67,0
134,85,336,11,124,17,0,0,100,-7,7,8,17,1,35,-7,0,0,1,87,2,2,0,44,0
135,69,220,7,93,30,0,0,97,2,4,6,30,1,30,1,1,1,14,73,6,2,1,69,0
136,75,113,97,105,2,0,0,100,-7,7,8,2,0,0,0,0,0,101,-8,2,-8,1,100,1
137,67,215,17,75,34,0,0,100,-7,7,8,34,0,50,-7,0,0,90,75,9,2,6,85,1
138,89,192,25,110,19,0,0,100,-7,7,8,19,0,42,0,1,1,2,-8,2,1,0,75,0
139,65,69,53,63,2,2,2,67,28,6,2,3,0,67,0,6,6,4,-8,1,-8,0,100,1
140,63,202,6,31,9,2,2,90,34,6,2,25,4,20,-7,1,1,49,81,6,2,1,89,0
141,89,165,12,71,19,0,0,100,-7,7,8,21,0,43,-8,0,0,13,-8,1,1,0,50,0
142,64,212,6,76,7,5,4,64,10,4,3,11,2,55,8,0,0,56,86,1,2,0,75,1
143,87,348,11,127,26,0,0,100,-7,7,8,26,1,27,0,3,3,14,48,2,3,1,50,0
144,70,150,26,165,31,0,0,95,1,4,6,10,0,37,1,3,3,7,-8,4,2,0,46,0
145,67,87,12,44,20,0,0,90,11,4,6,20,0,35,0,1,1,31,73,3,3,1,60,1
146,83,269,14,122,17,0,0,100,-7,7,8,17,0,47,0,0,0,24,-8,4,1,0,100,0
147,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,0
148,76,217,14,83,23,0,0,100,-7,7,8,26,0,22,11,0,0,17,51,10,3,2,81,0
149,65,121,4,61,29,0,0,90,13,6,6,1,3,37,-7,1,1,39,32,4,6,2,69,1
150,62,227,9,30,7,1,0,88,13,6,5,22,2,50,-7,0,0,96,-8,4,1,1,100,1
151,84,447,17,118,20,0,0,95,14,6,6,20,0,40,0,1,1,12,-8,5,1,0,75,1
152,81,183,11,69,23,0,0,96,15,6,6,23,2,17,10,0,0,1,-8,3,2,0,33,0
153,67,155,1,117,22,0,0,92,2,4,6,24,2,58,-7,2,2,67,80,2,4,-8,100,0
154,54,35,14,22,6,1,1,83,6,0,6,6,0,67,-7,2,2,79,86,1,3,1,100,1
155,86,191,7,82,27,0,0,100,-7,7,8,28,1,22,7,0,0,0,-8,0,1,0,8,0
156,56,182,3,85,18,0,0,78,2,4,6,34,1,33,-7,1,1,53,15,5,2,3,80,1
157,79,275,0,91,13,0,0,86,6,4,6,14,3,29,6,0,0,0,-8,1,1,0,33,0
158,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,0
159,75,139,3,54,14,0,0,94,46,6,6,16,2,19,0,1,1,43,33,1,2,1,43,0
160,76,334,7,54,26,0,0,96,70,6,6,40,2,19,0,2,2,5,79,3,2,1,56,0
161,83,440,24,190,10,0,0,100,-7,7,8,10,0,20,23,0,0,33,42,2,2,1,50,0
162,73,196,14,85,31,0,0,97,23,6,6,33,0,42,0,0,0,53,-8,4,1,1,100,0
163,71,409,12,137,44,0,0,100,-7,7,8,44,0,18,1,2,2,47,93,14,3,4,60,0
164,74,142,2,60,44,2,2,98,18,6,6,47,4,28,5,0,0,0,90,3,5,1,40,0
165,59,185,15,97,21,5,5,75,1,1,2,28,0,25,0,1,1,9,67,2,2,1,44,1
166,73,374,8,85,27,0,0,96,16,6,6,27,1,26,0,1,1,38,11,4,3,2,70,1
167,66,305,2,91,44,1,0,93,34,6,5,31,5,17,9,0,0,54,80,12,3,3,63,0
168,91,401,58,152,9,0,0,100,-7,7,8,9,0,44,-8,0,0,3,-8,1,-8,0,25,0
169,87,172,17,112,18,0,0,100,-7,7,8,3,0,28,-7,0,0,7,25,4,2,0,75,0
170,79,177,2,68,18,0,0,100,-7,7,8,19,2,37,4,1,1,13,98,2,3,0,56,0
171,57,187,20,101,7,1,0,60,1,4,5,10,0,40,0,0,0,75,62,3,2,1,100,1
172,87,130,12,46,26,0,0,100,-7,7,8,26,0,12,0,0,0,4,-8,2,-8,0,40,1
173,85,197,4,81,26,0,0,100,-7,7,8,26,3,19,-7,3,3,4,6,2,2,0,29,0
174,71,373,8,102,12,1,1,100,-7,6,8,12,1,33,1,3,3,0,-8,0,1,-8,25,0
175,88,304,3,96,29,0,0,100,-7,7,8,31,2,37,-8,0,0,18,-8,2,1,0,33,0
176,58,136,16,63,23,0,0,83,9,4,6,24,0,54,-7,0,0,75,84,3,2,2,83,1
177,74,306,33,121,35,1,1,97,61,6,3,37,0,19,8,0,0,32,49,11,3,3,75,0
178,59,150,3,50,27,0,0,89,21,6,6,28,3,21,0,1,1,54,70,8,4,2,63,1
179,72,262,2,82,32,0,0,100,-7,7,8,34,5,35,2,1,1,93,99,8,3,4,92,0
180,68,217,11,109,24,0,0,88,18,6,6,24,1,17,0,5,4,61,-8,5,1,3,50,0
181,62,247,11,93,29,2,2,90,37,0,6,29,1,24,16,0,0,67,-8,11,1,3,100,0
182,84,338,13,77,15,0,0,100,-7,7,8,57,0,20,19,0,0,15,31,5,2,0,58,0
183,63,94,1,28,17,0,0,100,-7,7,8,25,2,56,1,5,5,82,70,6,2,2,100,1
184,76,98,9,58,15,0,0,69,6,4,6,16,1,44,0,1,1,2,-8,2,3,1,75,1
185,79,83,2,39,28,0,0,100,-7,7,8,31,4,17,0,3,3,6,89,3,3,0,46,0
186,65,184,3,35,8,0,0,100,-7,7,8,8,3,75,-7,1,1,103,89,1,4,1,100,1
187,69,10,9,77,12,2,1,71,17,6,4,2,2,86,-8,0,0,-8,88,-8,2,-8,100,0
188,73,123,9,68,41,2,2,95,59,6,4,43,1,56,0,1,1,37,115,4,19,1,77,0
189,66,288,10,77,27,0,0,96,26,6,6,44,1,44,12,0,0,72,86,7,2,3,100,1
190,86,174,3,77,22,0,0,95,46,6,6,22,1,23,2,2,2,2,99,1,2,0,50,0
191,85,277,15,91,8,0,0,100,-7,7,8,8,0,25,22,0,0,36,-8,5,-8,0,100,0
192,74,254,15,66,39,0,0,95,8,4,6,74,0,38,7,1,1,6,41,6,4,1,53,0
193,82,194,4,102,26,0,0,100,-7,7,8,15,2,35,-8,2,0,12,51,3,3,0,67,0
194,79,364,35,111,22,0,0,100,-7,7,8,31,0,27,-8,0,0,93,51,1,2,1,75,0
195,64,242,18,124,16,2,0,47,2,4,5,19,0,74,0,4,4,27,-8,2,3,0,100,1
196,72,160,20,98,4,1,0,80,25,6,5,15,0,0,1,1,1,74,-8,1,-8,0,100,1
197,84,411,23,91,10,0,0,100,-7,6,8,11,0,36,0,0,0,17,-8,2,-8,0,100,0
198,66,130,8,49,15,1,1,88,33,6,2,16,1,81,0,0,0,78,83,1,5,-8,100,0
199,76,195,3,67,32,0,0,100,-7,7,8,27,5,38,-7,2,2,27,87,6,4,0,91,0
200,72,159,6,79,36,1,1,97,13,0,2,37,2,19,3,2,2,13,74,9,3,1,62,0
201,69,72,3,48,14,1,0,87,20,6,5,15,2,7,-7,1,1,29,-8,5,1,0,58,1
202,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,0
203,54,25,13,19,3,2,2,100,-7,0,8,4,0,33,0,2,2,33,-8,1,1,-8,67,1
204,77,161,2,68,24,0,0,96,18,6,6,25,1,12,-7,0,0,5,-8,3,1,0,57,0
205,70,85,3,23,18,1,1,89,45,6,4,19,7,47,0,4,4,28,69,6,4,1,77,1
206,69,-8,9,61,26,0,0,100,-7,7,8,28,3,36,-7,6,5,43,50,5,2,2,64,0
207,67,94,4,55,36,1,1,95,50,6,2,38,4,32,0,5,5,12,81,5,4,1,64,0
208,63,115,4,54,20,2,1,91,47,0,5,24,2,50,0,1,1,52,75,4,2,1,88,1
209,66,357,19,115,16,1,1,76,36,6,6,17,0,35,-7,1,1,21,6,4,3,0,73,0
210,68,373,2,105,33,0,0,91,4,4,6,34,2,50,21,0,0,36,70,3,3,1,55,0
211,79,249,12,82,41,0,0,100,-7,7,8,43,0,12,5,0,0,8,46,18,4,1,69,0
212,85,267,4,125,25,0,0,100,-7,7,8,18,6,48,4,1,1,15,90,3,5,0,80,0
213,63,324,8,119,30,1,1,70,3,6,2,33,2,12,1,1,1,12,77,4,2,1,62,1
214,83,216,5,111,28,0,0,100,-7,7,8,30,1,18,4,1,1,0,62,3,1,0,24,0
215,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,0
216,63,219,2,69,44,1,1,100,-7,6,8,48,3,17,1,2,2,10,28,2,4,2,43,0
217,68,514,14,104,14,0,0,94,10,4,6,16,0,50,0,0,0,42,-8,4,-8,0,80,1
218,75,116,2,61,41,0,0,100,-7,7,8,42,1,17,0,2,1,34,-8,2,-8,1,22,0
219,67,136,2,73,15,1,1,89,33,6,6,30,2,56,-8,0,0,61,100,3,2,0,100,0
220,64,194,3,51,14,0,0,86,5,4,6,21,5,14,-7,0,0,21,51,4,1,1,63,1
221,81,191,2,117,40,0,0,100,-7,7,8,6,5,7,0,3,3,15,-8,6,-8,2,26,0
222,87,215,34,80,18,0,0,100,-7,7,8,24,0,33,-7,1,1,2,-8,1,2,0,75,0
223,79,364,35,111,22,0,0,100,-7,7,8,31,0,27,-8,0,0,93,51,1,2,1,75,0
224,60,306,1,60,25,1,1,100,-7,6,8,35,5,21,0,5,5,30,84,6,4,0,56,0
225,86,257,20,117,29,0,0,100,-7,6,7,29,0,45,-7,0,0,10,48,3,2,0,71,0
226,78,228,1,98,18,0,0,100,-7,7,8,21,1,19,0,1,1,35,-8,6,-8,2,67,0
227,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,1
228,69,271,2,101,22,0,0,100,-7,7,8,23,1,17,2,4,4,32,35,9,2,3,69,0
229,81,297,7,84,23,0,0,100,-7,7,8,23,2,9,0,1,1,23,8,4,1,0,28,0
230,76,42,18,27,7,0,0,100,-7,7,8,7,0,71,0,1,1,30,-8,1,3,0,80,1
231,64,390,4,151,67,2,1,76,22,6,2,74,3,51,1,4,4,19,69,9,6,1,68,0
232,78,311,5,72,17,0,0,100,-7,7,8,17,3,35,-7,1,1,32,-8,2,2,1,57,0
233,69,118,2,42,20,1,0,91,27,6,5,22,7,23,-7,4,4,14,-8,4,1,0,55,1
234,55,142,2,53,21,1,0,75,6,4,5,24,3,42,0,1,1,96,41,4,3,2,78,1
235,75,258,2,79,21,1,1,96,41,6,2,24,4,29,2,1,1,3,62,2,2,0,45,1
236,80,117,2,53,22,0,0,96,59,6,6,23,3,17,-7,1,1,2,-8,2,1,1,25,0
237,63,99,2,44,45,0,0,98,-7,5,7,48,6,48,-7,2,2,91,92,7,10,3,94,0
238,91,288,33,122,16,0,0,100,-7,7,8,34,0,31,-8,0,0,2,-8,1,1,0,29,0
239,70,320,4,65,31,0,0,100,-7,7,8,28,4,29,-7,4,4,32,76,4,3,1,47,0
240,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,1
241,55,137,6,63,34,0,0,94,1,4,6,34,4,44,0,1,1,56,61,7,4,3,73,1
242,91,538,47,212,12,0,0,100,-7,7,8,12,0,17,0,0,0,4,-8,1,-8,0,14,0
243,59,117,3,98,14,1,1,87,3,4,6,15,2,53,-7,1,1,4,97,2,2,0,100,1
244,80,194,21,97,18,0,0,100,-7,7,8,18,0,22,21,0,0,34,-8,7,1,1,73,0
245,89,181,33,75,8,0,0,100,-7,7,8,8,0,25,0,0,0,0,-8,1,1,0,40,0
246,77,337,22,70,13,0,0,92,14,6,6,14,0,54,9,0,0,0,-8,1,2,1,75,0
247,82,139,9,59,17,0,0,100,-7,7,8,17,1,35,-8,0,0,0,-8,1,1,-8,50,0
248,85,177,2,84,30,0,0,100,-7,7,8,35,1,33,-7,2,2,12,74,2,5,0,47,0
249,87,203,3,93,22,0,0,100,-7,7,8,23,2,22,0,0,0,4,67,5,2,0,47,0
250,72,150,7,57,36,0,0,100,-7,7,8,40,7,8,1,3,3,30,56,8,2,3,56,0
251,60,43,1,16,9,0,0,100,-7,7,8,10,6,40,-7,2,2,96,42,3,2,1,83,1
252,81,139,0,51,14,0,0,100,-7,7,8,15,4,20,0,3,2,16,60,2,3,0,45,0
253,55,179,1,75,22,1,0,83,2,4,5,24,1,29,0,1,1,57,-8,8,-8,3,64,1
254,85,446,11,183,8,0,0,100,-7,7,8,9,1,67,0,0,0,12,69,1,2,-8,75,0
255,82,280,13,102,22,0,0,91,26,6,6,23,0,9,0,0,0,3,-8,4,1,1,42,0
